To_be_vote,first_priority,second_priority,third_priority,capable_to_handing_protest,Others_as_candidate,president_in_perspective,expectation,Executive_system,promisses_followed,born_year,district,ethnic_group,gender
Yes,Sajith Premadasa,M.K. Sivajalingam,Anura Kumara Dissanayake,Sajith Premadasa,Pirabhaharan,Sajith Premadasa,Giving equality to each race ,Need an executive president,No,1990,Jaffna,Tamils,Female
No,M.K. Sivajalingam,No one,No One,No one,Myself,M.K. Sivajalingam,Nothing ,Abolish the executive president position,No,1992,Hambantota,Sinhalese,Male
Yes,Sajith Premadasa,Sajith Premadasa,Sajith Premadasa,Sajith Premadasa,Pirabakaran,Sajith Premadasa,Sajith,Need an executive president,Yes,1984,Jaffna,Tamils,Female
Yes,Gotabhaya Rajapakse,No one,No One,Sajith Premadasa,Pirapakaran,Gotabhaya Rajapakse,,Need an executive president,No,1984,Jaffna,Tamils,Male
Yes,Namal Rajapaksa,Sajith Premadasa,Gotabhaya Rajapakse,Sajith Premadasa,Mahindha rajapaksha,Gotabhaya Rajapakse,,Need an executive president,Yes,1992,Nuwara Eliya,Tamils,Female
Yes,Gotabhaya Rajapakse,Sajith Premadasa,Sajith Premadasa,Sajith Premadasa,Mahinda rajapaksha,Sajith Premadasa,,Need an executive president,No,1962,Nuwara Eliya,Tamils,Female
Yes,Gotabhaya Rajapakse,Sajith Premadasa,Namal Rajapaksa,Gotabhaya Rajapakse,,Namal Rajapaksa,Peaceful life for every living thing.  ,Need an executive president,No,1989,Nuwara Eliya,Tamils,Male
Yes,Sajith Premadasa,Sajith Premadasa,Sajith Premadasa,Sajith Premadasa,,Sajith Premadasa,"Best development in medical, transport & studies",Need an executive president,No,1956,Nuwara Eliya,Tamils,Male
Yes,Sajith Premadasa,M.K. Sivajalingam,No One,Sajith Premadasa,,Sajith Premadasa,,Need an executive president,No,1991,Jaffna,Tamils,Male
Yes,Anura Kumara Dissanayake,Sajith Premadasa,Mahesh Senanayake,Gotabhaya Rajapakse,Sumanthiran,Gotabhaya Rajapakse,Peace,Abolish the executive president position,No,1991,Jaffna,Tamils,Male
Yes,Sajith Premadasa,No one,No One,No one,Me,Subramanium Gunaratnam,Accountablity and transparancy in all actvities,Need an executive president,No,1992,Jaffna,Tamils,Female
Yes,Sajith Premadasa,Rohan Pallewatte,No One,Sajith Premadasa,,Sajith Premadasa,,Need an executive president,No,1991,Jaffna,Tamils,Male
Yes,Sajith Premadasa,Gotabhaya Rajapakse,No One,Sajith Premadasa,no,Sajith Premadasa,Peaceful nation,Need an executive president,No,1992,Jaffna,Tamils,Female
Yes,Sajith Premadasa,Anura Kumara Dissanayake,No One,Sajith Premadasa,C.v.vikneswaran,Sajith Premadasa,Great leadership,Abolish the executive president position,No,1994,Colombo,Tamils,Male
Yes,Sajith Premadasa,No one,No One,Sajith Premadasa,,Sajith Premadasa,,Need an executive president,No,1994,Colombo,Tamils,Male
Yes,Mahesh Senanayake,Anura Kumara Dissanayake,Gotabhaya Rajapakse,Mahesh Senanayake,,Mahesh Senanayake,,Need an executive president,No,1980,Monaragala,Sinhalese,Male
Yes,Gotabhaya Rajapakse,Anura Kumara Dissanayake,Mahesh Senanayake,Gotabhaya Rajapakse,,Gotabhaya Rajapakse,,Need an executive president,No,1979,Hambantota,Sinhalese,Male
Yes,Gotabhaya Rajapakse,Anura Kumara Dissanayake,Mahesh Senanayake,Gotabhaya Rajapakse,,Gotabhaya Rajapakse,,Need an executive president,No,1996,Galle,Sinhalese,Female
Yes,Sajith Premadasa,M.K. Sivajalingam,Subramanium Gunaratnam,Sajith Premadasa,,Sajith Premadasa,,Need an executive president,No,1955,Jaffna,Tamils,Male
Yes,Sajith Premadasa,M.K. Sivajalingam,M.L.A.M. Hisbullah,Sajith Premadasa,,Sajith Premadasa,,Need an executive president,No,1958,Jaffna,Tamils,Female
Yes,Sajith Premadasa,M.K. Sivajalingam,M.L.A.M. Hisbullah,Sajith Premadasa,,Sajith Premadasa,,Need an executive president,No,1987,Jaffna,Tamils,Female
Yes,Sajith Premadasa,M.K. Sivajalingam,Subramanium Gunaratnam,Sajith Premadasa,,Sajith Premadasa,,Need an executive president,No,1989,Jaffna,Tamils,Female
Yes,Sajith Premadasa,M.K. Sivajalingam,M.L.A.M. Hisbullah,Sajith Premadasa,,Sajith Premadasa,,Need an executive president,No,1993,Jaffna,Tamils,Female
Yes,Gotabhaya Rajapakse,Sajith Premadasa,Anura Kumara Dissanayake,Gotabhaya Rajapakse,,Gotabhaya Rajapakse,,Need an executive president,No,1995,Gampaha,Sinhalese,Female
Yes,Sajith Premadasa,M.L.A.M. Hisbullah,M.K. Sivajalingam,Sajith Premadasa,,Sajith Premadasa,,Need an executive president,No,1993,Mannar,Muslims,Male
Yes,Anura Kumara Dissanayake,Mahesh Senanayake,Sajith Premadasa,Sajith Premadasa,,Anura Kumara Dissanayake,,Need an executive president,No,1964,Colombo,Sinhalese,Male
Yes,Anura Kumara Dissanayake,Sajith Premadasa,Mahesh Senanayake,Anura Kumara Dissanayake,,Anura Kumara Dissanayake,,Need an executive president,Yes,1954,Kandy,Sinhalese,Male
Yes,Sajith Premadasa,Anura Kumara Dissanayake,Mahesh Senanayake,Sajith Premadasa,,Sajith Premadasa,,Need an executive president,Yes,1966,Batticaloa,Tamils,Male
Yes,Gotabhaya Rajapakse,Anura Kumara Dissanayake,Mahesh Senanayake,Gotabhaya Rajapakse,,Gotabhaya Rajapakse,,Abolish the executive president position,No,1975,Galle,Sinhalese,Male
Yes,Sajith Premadasa,Anura Kumara Dissanayake,Mahesh Senanayake,Sajith Premadasa,,Sajith Premadasa,,Need an executive president,Yes,1985,Batticaloa,Tamils,Male
Yes,Mahesh Senanayake,Gotabhaya Rajapakse,Anura Kumara Dissanayake,Mahesh Senanayake,,Mahesh Senanayake,,Need an executive president,Yes,1986,Kandy,Sinhalese,Female
Yes,Gotabhaya Rajapakse,Mahesh Senanayake,Mahesh Senanayake,Gotabhaya Rajapakse,,Gotabhaya Rajapakse,,Abolish the executive president position,No,1978,Hambantota,Sinhalese,Male
Yes,Sajith Premadasa,Sajith Premadasa,Sajith Premadasa,Sajith Premadasa,,Sajith Premadasa,,Need an executive president,Yes,1987,Batticaloa,Tamils,Male
Yes,Gotabhaya Rajapakse,Anura Kumara Dissanayake,Mahesh Senanayake,Gotabhaya Rajapakse,,Gotabhaya Rajapakse,,Abolish the executive president position,No,1987,Hambantota,Sinhalese,Male
Yes,Gotabhaya Rajapakse,Sajith Premadasa,Anura Kumara Dissanayake,Gotabhaya Rajapakse,,Gotabhaya Rajapakse,,Need an executive president,No,1988,Anuradhapura,Sinhalese,Male
Yes,Gotabhaya Rajapakse,Sajith Premadasa,Anura Kumara Dissanayake,Gotabhaya Rajapakse,,Gotabhaya Rajapakse,,Need an executive president,No,1987,Polonnaruwa,Sinhalese,Male
Yes,Sajith Premadasa,M.K. Sivajalingam,M.L.A.M. Hisbullah,Sajith Premadasa,,Sajith Premadasa,,Need an executive president,No,1991,Colombo,Tamils,Female
